Key,Korean,English
MARKET_POT_RATION_NAME,전투 식량,Combat Ration
MARKET_POT_RATION_DESC,다음 런 시작 시 최대 체력 +30.,Start next run with +30 Max HP.
MARKET_POT_FUND_NAME,비상금,Emergency Fund
MARKET_POT_FUND_DESC,다음 런 시작 시 골드 +150.,Start next run with +150 Gold.
MARKET_POT_DICE_NAME,보급 주사위,Supply Dice
MARKET_POT_DICE_DESC,시작 덱에 'D6' 주사위 1개를 추가합니다.,Add 1 D6 to starting deck.
MARKET_POT_INSURANCE_NAME,여행자 보험,Traveler's Insurance
MARKET_POT_INSURANCE_DESC,사망 시 획득한 골드의 30%를 마석으로 환급받습니다.,Refund 30% of earned gold as Magic Stones on death.
MARKET_POT_RELIC_PACK_NAME,유물 꾸러미,Relic Bundle
MARKET_POT_RELIC_PACK_DESC,랜덤 유물 1개 획득,Obtain 1 random relic.
MARKET_POT_CROSSBOW_NAME,석궁,Crossbow
MARKET_POT_CROSSBOW_DESC,초반 5웨이브 동안 모든 데미지 +5.,+5 damage for first 5 waves.
MARKET_POT_OINTMENT_NAME,미끈한 연고,Slippery Ointment
MARKET_POT_OINTMENT_DESC,초반 5웨이브 동안 매 웨이브 시작 시 Shield + 10.,+10 Shield at wave start for first 5 waves.
MARKET_POT_SPEEEDLOADER_NAME,스피드로더,Speed Loader
MARKET_POT_SPEEEDLOADER_DESC,초반 5웨이브 동안 리롤 횟수 +2.,+2 reroll count for first 5 waves.
MARKET_POT_LUCKY_COIN_NAME,행운의 동전,Lucky Coin
MARKET_POT_LUCKY_COIN_DESC,초반 5웨이브 동안 치명타 확률 +20%.,+20% critical chance for first 5 waves.
MARKET_POT_TACTICIAN_MAP_NAME,전략가의 지도,Tactician's Map
MARKET_POT_TACTICIAN_MAP_DESC,초반 5웨이브 동안 매 웨이브 시작 시 골드 +20.,+20 Gold at wave start for first 5 waves.
MARKET_BASIC_SUPPLIES,기초 보급품,Basic Supplies
MARKET_COMBAT_SUPPORT,전투 보조,Combat Support
MARKET_NPC_WELCOME_1,어서오세요 성주님!,Welcome my Lord!
MARKET_NPC_WELCOME_2,환영합니다!\n좋은 물건들이 많아요.,Welcome!\nPlenty of good items today.
MARKET_NPC_WELCOME_3,오늘도 좋은 하루네요.\n무엇을 찾으시나요?,Beautiful day!\nWhat are you looking for?
MARKET_NPC_WELCOME_4,이번 출전에\n필요한 게 있으신가요?,Need anything\nfor your expedition?
MARKET_NPC_PURCHASE_1,좋은 선택이에요!,Great choice!
MARKET_NPC_PURCHASE_2,감사합니다.\n도움이 되길 바래요!,Thank you!\nHope it helps!
MARKET_NPC_PURCHASE_3,훌륭한 거래였어요,Excellent trade!
MARKET_NPC_INSUFFICIENT_1,마석이 조금 부족하신 것 같아요...,You're a bit short on Magic Stones...
MARKET_NPC_INSUFFICIENT_2,조금 더 필요하신 것 같아요...,You need a bit more...
MARKET_NPC_INSUFFICIENT_3,"저 죄송하지만 마석이 부족해요.","Sorry but you don't have enough."
