Key,Korean,English
META_CATEGORY_DEFENSE,방어,Defense
META_CATEGORY_OFFENSE,공격,Offense
META_CATEGORY_UTILITY,유틸리티,Utility
META_MAX_HEALTH_NAME,기초 보강, Basic Supplies
META_MAX_HEALTH_DESC,최대 체력이 영구적으로 증가합니다.,Permanently increases maximum health.
META_ZONE_START_HEAL_NAME,성벽 수리, Wall Repair
META_ZONE_START_HEAL_DESC,존 시작 시 체력이 회복됩니다.,Heals HP when starting a new zone.
META_WAVE_START_SHIELD_NAME,마법 장벽, Magic Barrier
META_WAVE_START_SHIELD_DESC,매 웨이브 시작 시 실드를 획득합니다.,Gain shield at the start of each wave.
META_DAMAGE_REDUCTION_NAME,피해 감소 구조, Damage Reduction Structure
META_DAMAGE_REDUCTION_DESC,받는 피해가 감소합니다.,Reduces incoming damage.
META_WAVE_END_HEAL_NAME,자가수리,Self-Repair
META_WAVE_END_HEAL_DESC,웨이브 종료 시 체력이 회복됩니다.,Heals HP when wave ends.
META_SHIELD_PER_REROLL_NAME,재생성 보호막, Regenerative Shield 
META_SHIELD_PER_REROLL_DESC,주사위를 굴릴 때마다 실드를 획득합니다.,Gain shield each time you reroll dice.
META_SHIELD_CARRY_OVER_NAME,보존, Preservation
META_SHIELD_CARRY_OVER_DESC,실드의 일정량이 다음 웨이브로 이월됩니다.,Preserves a portion of shield to the next wave.
META_FIRST_HIT_IMMUNE_NAME,면역,Immunity
META_FIRST_HIT_IMMUNE_DESC,웨이브당 첫 피해를 무효화합니다.,Nullify first damage taken per wave.
META_REVIVE_NAME,부활석,Revive
META_REVIVE_DESC,사망 시 1회 일정 체력으로 부활합니다.,Revive with partial HP when defeated.
META_BASE_DAMAGE_NAME,발리스타,Balista
META_BASE_DAMAGE_DESC,성벽에 발리스타를 배치해 모든 패의 기본 데미지가 증가합니다.,Increases base damage of all Hands.
META_START_DAMAGE_NAME,일제사격,Suppressive Fire
META_START_DAMAGE_DESC,웨이브 시작 시 적에게 피해를 줍니다.,Deal damage to enemies at wave start.
META_CRIT_CHANCE_NAME,약점 포착, Crit Chance
META_CRIT_CHANCE_DESC,치명타가 발생할 확률이 증가합니다.,Increases critical hit chance.
META_REROLL_DAMAGE_BONUS_NAME,반복 공격, Rapid Strikes
META_REROLL_DAMAGE_BONUS_DESC,주사위를 굴릴 때마다 데미지가 증가합니다.,Gain damage bonus per reroll.
META_FOUR_DICE_DAMAGE_BONUS_NAME,완성된 공격, Completed Attacks
META_FOUR_DICE_DAMAGE_BONUS_DESC,한번의 공격에 주사위 4개 이상 사용 시 데미지 보너스., Damage bonus when using 4 or more dice in a single attack.
META_SPLASH_DAMAGE_NAME,후폭풍, Reverse Blast
META_SPLASH_DAMAGE_DESC,단일 적을 공격하는 패의 일부 데미지를 모든 적에게 입힙니다., Deals portion of damage from single-target Hands to all enemies.
META_COMBO_BONUS_NAME,연쇄 공격, Chain Attack
META_COMBO_BONUS_DESC,연쇄 공격 시 데미지가 증가합니다.,Increased damage on Chain attacks.
META_START_DICE_BONUS_NAME,추가 주사위,Extra Dice
META_START_DICE_BONUS_DESC,게임 시작 시 D4 주사위를 얻습니다., Gain a D4 dice at the start of the game.
META_CRIT_MULTIPLIER_NAME,치명적 일격, Critical Strike
META_CRIT_MULTIPLIER_DESC,치명타 데미지 배율이 증가합니다.,Increases critical damage multiplier.
META_START_GOLD_NAME,보급품 준비, Supply Prep
META_START_GOLD_DESC,보급품을 준비해 출격 시 골드를 얻습니다.,Start runs with bonus gold.
META_GOLD_BONUS_NAME,전리품 수거,Loot Collection
META_GOLD_BONUS_DESC,패 완성 시 골드 획득량이 증가합니다.,Increases gold gained from Hands.
META_SHOP_DISCOUNT_NAME,상점 할인,Shop Discount
META_SHOP_DISCOUNT_DESC,상점 가격이 할인됩니다.,Reduces shop prices.
META_GOLD_MULTIPLIER_NAME,황금손, Gold Touch
META_GOLD_MULTIPLIER_DESC,모든 골드 획득량이 증가합니다.,Multiplies all gold gained.
META_RARE_RELIC_RATE_NAME,보물사냥꾼, Treasure Hunter
META_RARE_RELIC_RATE_DESC,보다 더 희귀한 유물의 획득 확률이 증가합니다.,Increases rare relic drop rate.
META_MAX_REROLLS_NAME,숙련,Mastery
META_MAX_REROLLS_DESC,주사위 굴림 가능 횟수가 증가합니다.,Increases maximum reroll count.
META_SHOP_REFRESH_COST_FIXED_NAME,V.I.P,V.I.P
META_SHOP_REFRESH_COST_FIXED_DESC,상점 새로고침 비용이 증가하지 않습니다.,Shop refresh cost doesn't increase.
META_INTEREST_RATE_NAME,이자 수익,Interest Rate
META_INTEREST_RATE_DESC,존 클리어 시 보유 골드의 일정 비율을 추가로 받습니다.,Earn percentage of gold when clearing zone.
META_STARTING_RELIC_CHOICE_NAME,유산,Heritage
META_STARTING_RELIC_CHOICE_DESC,런 시작 시 유물을 선택할 수 있습니다.,Choose starting relic at run start.
