Key,Korean,English
RLC_CLOVER_NAME,네잎클로버,Four-Leaf Clover
RLC_CLOVER_DESC,최대 굴림 횟수 +1,Max Rolls +1
RLC_WHETSTONE_NAME,숫돌,Whetstone
RLC_WHETSTONE_DESC,모든 패 데미지 +5,All Hand Damage +5
RLC_RUSTY_GEAR_NAME,녹슨 톱니,Rusty Gear
RLC_RUSTY_GEAR_DESC,모든 패 골드 +3,All Hand Gold +3
RLC_EXTRA_DICE_NAME,여분의 주사위,Extra Dice
RLC_EXTRA_DICE_DESC,덱에 D6 추가,Add D6 to deck
RLC_TINY_DICE_NAME,작은 주사위,Tiny Dice
RLC_TINY_DICE_DESC,덱에 D4 추가,Add D4 to deck
RLC_HEAVY_DICE_NAME,무거운 주사위,Heavy Dice
RLC_HEAVY_DICE_DESC,"총합 족보 데미지 +30, 굴림 횟수 -1","Sum Hand Damage +30, Rolls -1"
RLC_QUICK_RELOAD_NAME,빠른 장전,Quick Reload
RLC_QUICK_RELOAD_DESC,첫 굴림 시 주사위 2개 즉시 재굴림,Reroll 2 dice on first roll
RLC_FOUNDATION_NAME,기틀,Foundation
RLC_FOUNDATION_DESC,총합 데미지 +10,Sum Damage +10
RLC_SHARP_BLADE_NAME,날카로운 칼날,Sharp Blade
RLC_SHARP_BLADE_DESC,스트레이트 데미지 +20,Straight Damage +20
RLC_POLISHED_ORB_NAME,광택 구슬,Polished Orb
RLC_POLISHED_ORB_DESC,연쇄 공격 시 공격마다 데미지 +30%,Chain attacks: +30% damage per attack
RLC_SPIKE_GLOVE_NAME,가시 돋친 장갑,Spiked Glove
RLC_SPIKE_GLOVE_DESC,투 페어 데미지 +15,Two Pair Damage +15
RLC_TRIPOD_NAME,삼각대,Tripod
RLC_TRIPOD_DESC,트리플 골드 2배,Triple Gold x2
RLC_HOUSE_NAME,집 모형,House Model
RLC_HOUSE_DESC,풀 하우스 데미지 +25,Full House Damage +25
RLC_SMALL_SHIELD_NAME,작은 방패,Small Shield
RLC_SMALL_SHIELD_DESC,최대 체력 20% 이하일 때 피해 무효화 (존 당 1회),Nullify damage when HP ≤20% (once per zone)
RLC_SWIFT_HANDS_NAME,날쌘 손놀림,Swift Hands
RLC_SWIFT_HANDS_DESC,굴림 가능 횟수가 0일 때 1회 무료 충전,Grant 1 free roll when out of rolls
RLC_WHITEBOOK_NAME,백마법서,White Grimoire
RLC_WHITEBOOK_DESC,모두 짝수 골드 2배,All Even Gold x2
RLC_DARKBOOK_NAME,흑마법서,Dark Grimoire
RLC_DARKBOOK_DESC,모두 홀수 골드 2배,All Odd Gold x2
RLC_SWORD_BOOK_NAME,검술 교본,Swordsmanship Manual
