Key,Korean,English
SHOP_FULL_HEAL_NAME,완전 회복,Full Heal
SHOP_FULL_HEAL_DESC,체력을 모두 회복합니다.,Restore all HP.
SHOP_VITALITY_ESSENCE_NAME,활력의 정수,Essence of Vitality
SHOP_VITALITY_ESSENCE_DESC,최대 체력 +10,Max HP +10
SHOP_LIFE_VESSEL_NAME,생명의 그릇,Vessel of Life
SHOP_LIFE_VESSEL_DESC,최대 체력 +20,Max HP +20
SHOP_DICE_NAME,주사위,Dice
SHOP_DICE_DESC,덱에 {0} 주사위를 1개 추가합니다.,Add 1 {0} dice to your deck.
SHOP_POTION_SWIFT_NAME,신속의 물약,Potion of Swiftness
SHOP_POTION_SWIFT_DESC,다음 존(Zone) 동안 [최대 굴림 횟수 +1],For the next zone: [Max Rerolls +1]
SHOP_POTION_POWER_NAME,힘의 물약,Potion of Power
SHOP_POTION_POWER_DESC,다음 존(Zone) 동안 [모든 데미지 +15],For the next zone: [All Damage +15]
SHOP_POTION_GREED_NAME,탐욕의 물약,Potion of Greed
SHOP_POTION_GREED_DESC,다음 존(Zone) 동안 [금화 획득량 1.5배],For the next zone: [Gold Gain x1.5]
SHOP_REROLL_BUTTON,품목 리롤,Reroll
SHOP_NEXT_BUTTON,다음으로,Next
